Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
DGEZNRSVGBDHLK-UHFFFAOYNA-N,CHEMBL415879,4314,N,3.6,chembl20,715232,9606,MMP3,2669,N=1C=2C3=NC=CC=C3C=CC2C=CC1
SLJWCCMDGTZEGQ-UHFFFAOYNA-N,CHEMBL240963,4314,N,3.6,chembl20,715232,9606,MMP3,2669,O=C1C2=CC=CC=C2C(=O)CC1=O
YXVFYQXJAXKLAK-UHFFFAOYNA-N,CHEMBL73380,4314,N,3.55,chembl20,104900,9606,MMP3,2669,C1=C(C=CC(O)=C1)C2=CC=CC=C2
QQRCALUVCOFAOX-BLEIPKOVNA-N,CHEMBL329784,4314,A,5.52,chembl20,104892,9606,MMP3,2669,P(C(NC1CCCCC1)=O)(=O)(O)O
QRDZFPUVLYEQTA-XWKXFZRBNA-N,CHEMBL1427477,4314,N,3.52,chembl20,715232,9606,MMP3,2669,OC(=O)C1=C2N=CC=CC2=CC=C1
ARYMJWFLWQKXFD-NDKGDYFDNA-N,CHEMBL1235568,4314,N,3.25,chembl20,715232,9606,MMP3,2669,OS(=O)(C)=NC1=CC=CC=2C1=NC=CC2
BOJLJKMUGYYKCZ-ULJANMDQNA-N,CHEMBL289356,4314,N,3.72,chembl20,104727,9606,MMP3,2669,S1C(=NN=C1S)NC=2C=CC=CC2
AKBYHAYPWDTSCH-NMHRWYTENA-N,CHEMBL441781,4314,N,4.01,chembl20,104727,9606,MMP3,2669,S1C(=NN=C1NCCCCCCCCCCCC)S
DGMPVYSXXIOGJY-XWKXFZRBNA-N,CHEMBL24510,4314,N,3.6,chembl20,715232,9606,MMP3,2669,N1=C(C(O)=O)C=CC(=C1)CCCC
KXZQYLBVMZGIKC-UHFFFAOYNA-N,CHEMBL1650627,4314,N,3.6,chembl20,715232,9606,MMP3,2669,N(CC1=NC=CC=C1)CC=2N=CC=CC2
JRZGPWOEHDOVMC-NDKGDYFDNA-N,CHEMBL115468,4314,N,4.3,chembl20,205633,9606,MMP3,2669,C1(C(O)=NO)=C2C(C=CC=C2)=CC=C1
QWHHWOMUBFYDRB-XIMAAISONA-N,CHEMBL288599,4314,N,4.01,chembl20,104727,9606,MMP3,2669,S1C(=NN=C1S)NCC2=CC=CC=C2
NEQAQLUTBGWNLE-BAINRFMONA-N,CHEMBL96438,4314,N,4.52,chembl20,104892,9606,MMP3,2669,P(C(N(CCCC)CCCC)=O)(=O)(O)O
LOAUVZALPPNFOQ-XWKXFZRBNA-N,CHEMBL1160559,4314,N,3.43,chembl20,715232,9606,MMP3,2669,N1=C(C=CC2=CC=CC=C12)C(=O)O
XAAKCCMYRKZRAK-XWKXFZRBNA-N,CHEMBL1650606,4314,N,3.31,chembl20,715232,9606,MMP3,2669,C1(=NC=CC=2C=CC=CC12)C(=O)O
XBMRQHZMWARLEG-HWVAXDMANA-N,CHEMBL97951,4314,A,6,chembl20,104892,9606,MMP3,2669,P(C(NCC1CCCCC1)=O)(=O)(O)O
XIDVVJBXNORWKN-UHFFFAOYNA-N,CHEMBL118512,4314,N,4.7,chembl20,104900,9606,MMP3,2669,N#CCC1=CC(C=2C=CC(=CC2)O)=CC=C1
XEYQHDFSWLWGDC-MLRYSLRMNA-N,CHEMBL38604,4314,N,3.54,chembl20,104727,9606,MMP3,2669,S1C(=NN=C1S)NCC=2OC=CC2
VCCBEIPGXKNHFW-UHFFFAOYNA-N,CHEMBL76398,4314,N,3.82,chembl20,205631,9606,MMP3,2669,C1(C=2C=CC(=CC2)O)=CC=C(C=C1)O
UHBIKXOBLZWFKM-NDKGDYFDNA-N,CHEMBL1368601,4314,N,3.6,chembl20,715232,9606,MMP3,2669,OC=1C=2N=C(C=CC2C=CC1)C(O)=O
ZRMIETZFPZGBEB-UHFFFAOYNA-N,CHEMBL114523,4314,N,4.7,chembl20,205633,9606,MMP3,2669,N#CC=1C=CC(=CC1)C2=CC=C(C=C2)O
BXWKQAHPQICDHI-UHFFFAOYNA-N,CHEMBL1651847,4314,N,3.91,chembl20,702144,9606,MMP3,2669,O(S(CC)(=O)=O)C=1C=CC(S(CC2SC2)(=O)=O)=CC1
GHFCXEYUGIXTHN-MSCSSKODNA-N,CHEMBL24447,4314,N,4.05,chembl20,104892,9606,MMP3,2669,P(C(=O)NCCC1=CC=CC=C1)(=O)(O)O
FZQDTUCHCVJYHU-LRBUWPLYNA-N,CHEMBL417885,4314,N,4,chembl20,104727,9606,MMP3,2669,C=1(SC(S)=NN1)NC(NC=2C=CC=CC2)=O
LWHDLJDNHJFUSI-UHFFFAOYNA-N,CHEMBL1651846,4314,N,3.31,chembl20,702144,9606,MMP3,2669,O(S(C)(=O)=O)C=1C=CC(=CC1)S(CC2SC2)(=O)=O
CCTQEHDMZKCPPK-YWZGMMCPNA-N,CHEMBL290545,4314,N,4.33,chembl20,104727,9606,MMP3,2669,S1C(=NN=C1NCCC2=CC=CC=C2)S
PHQBKLKZIXCRIX-QIQUEDJNNA-N,CHEMBL1650604,4314,N,2.59,chembl20,715232,9606,MMP3,2669,C=1C(C)=NC(C(=O)O)=C(C1)C(O)=O
RRXGRDMHWYLJSY-UHFFFAOYNA-N,CHEMBL1650629,4314,N,3.6,chembl20,715232,9606,MMP3,2669,C=1C=C(C=C(N1)C=2C=C(C=CN2)CO)CO
NAGNQAOMYYQEAN-YWZGMMCPNA-N,CHEMBL39699,4314,N,3.76,chembl20,104727,9606,MMP3,2669,C=1(SC(S)=NN1)NC=2C(Cl)=CC=CC2C
WLZISXXOYYGJNT-XWKXFZRBNA-N,CHEMBL83508,4314,A,5.36,chembl20,104740,9606,MMP3,2669,OC(=NO)CNS(=O)(=O)C1=CC=C(OC)C=C1
SOJFCTIYHPWXGZ-XWKXFZRBNA-N,CHEMBL2048511,4314,N,4.63,chembl20,827441,9606,MMP3,2669,O=C(C(C(C)C)OC(CC(C)C)=O)O
UCIQGUFPHONIDI-DSPILPRONA-N,CHEMBL36682,4314,N,4.07,chembl20,104736,9606,MMP3,2669,C=1(SC(S)=NN1)NC(NCC(=O)OCC)=O
YZJVCXDOAAOGHA-UDPNQUAQNA-N,CHEMBL400314,4314,N,3.78,chembl20,458939,9606,MMP3,2669,N1=C(SC(=N1)S)NC(NCC(=O)NC)=O
UGLOKYALFGIDPP-UHFFFAOYNA-N,CHEMBL48969,4314,A,6.82,chembl20,102102,9606,MMP3,2669,S(C1=CC=C(SC2=CC=CC=C2)C=C1)(=O)(=O)CCCS
AGULWCWMDMKUSF-UHFFFAOYNA-N,CHEMBL1834422,4314,N,4.63,chembl20,771372,9606,MMP3,2669,C1=CC(OC=2C=CC(=CC2)S(CC3SC3)(=O)=O)=CC=C1N
KDJQHAIUPWKKAB-XEODEJGLNA-N,CHEMBL290600,4314,A,5.15,chembl20,104736,9606,MMP3,2669,C=1(SC(S)=NN1)NC(=O)NCCC=2C=CC=CC2
MJDJFIONJBJENE-UHFFFAOYNA-N,CHEMBL36615,4314,A,7.21,chembl20,104731,9606,MMP3,2669,N#CC1=CC=C(C=2C=CC(=CC2)OCCN(C=O)O)C=C1
FDPYTWXXVNVJLZ-UHFFFAOYNA-N,CHEMBL1651848,4314,N,3.84,chembl20,702144,9606,MMP3,2669,O(S(CCC)(=O)=O)C=1C=CC(S(CC2SC2)(=O)=O)=CC1
MZMFSOYMXLYVMZ-XIVWVJAMNA-N,CHEMBL289587,4314,N,4.8,chembl20,104736,9606,MMP3,2669,C=1(SC(S)=NN1)NC(NCC2=CC=CC=C2)=O
NOTAJMGETPEIGO-YAQRNVERNA-N,76335569,4314,A,5.19382,pubchem,1062954,9606,MMP3,2669,S1C(CCC)=C(O)N=C1CC2=NC=3C(N2)=CC=CC3
WGDNBRDYDYVNIJ-JHVZOGCYNA-N,CHEMBL290050,4314,N,3.5,chembl20,104727,9606,MMP3,2669,S1C(=NN=C1NCCCCC2=CC=CC=C2)S
XTEMUHHTESGVEO-FPAOEZQNNA-N,CHEMBL40041,4314,N,4.16,chembl20,104736,9606,MMP3,2669,C=1(SC(S)=NN1)NC(NC=2C=CC(=CC2)OC)=O
XHCXISPZIHYKQD-JNCHPHNINA-N,CHEMBL270296,4314,N,4.6,chembl20,465796,9606,MMP3,2669,C1CC[C@H]([C@@H](C1)NC(P(O)(O)=O)=O)N
RVFUBAXCKZOYOU-XIVWVJAMNA-N,CHEMBL289375,4314,N,4.54,chembl20,104727,9606,MMP3,2669,C=1(SC(S)=NN1)NC(NC=2C=CC(=CC2)F)=O
USRUKOUPEOXKSQ-HCKMINDGNA-N,CHEMBL118740,4314,A,6.51,chembl20,104898,9606,MMP3,2669,C(CCOC1=CC=C(C=C1)C=2C=CC=CC2)(O)=NO
CTVWOVYWOFCAMW-UHFFFAOYNA-N,CHEMBL301565,4314,A,6.3,chembl20,102102,9606,MMP3,2669,S(C1=CC=C(OC2=CC=CC=C2)C=C1)(=O)(=O)CCCS
LSONWRHLFZYHIN-UHFFFAOYNA-N,CHEMBL483857,4314,N,4.82,chembl20,831071,9606,MMP3,2669,C=1C=C(OC=2C=CC(=CC2)S(CC3SC3)(=O)=O)C=CC1
LEBLJISYPUWAJY-UHFFFAOYNA-N,CHEMBL2063271,4314,N,4.57,chembl20,831071,9606,MMP3,2669,O=S(C1=CC=C(OC=2C=C(C=CC2)F)C=C1)(CC3SC3)=O
CYYNWRHSIGJVFM-WYUMXYHSNA-N,CHEMBL310520,4314,A,5.49,chembl20,458936,9606,MMP3,2669,S(N(CC(O)=NO)CC(C)C)(C1=CC=C(C=C1)C)(=O)=O
BFEUMQAVESBAEM-KFNDPSNINA-N,CHEMBL39316,4314,N,4.47,chembl20,104727,9606,MMP3,2669,C=1(SC(S)=NN1)NC(=O)NCCCCC2=CC=CC=C2
AHDPJKYOQXMDIX-UHFFFAOYNA-N,CHEMBL2063274,4314,A,5.66,chembl20,831071,9606,MMP3,2669,O=S(C1=CC=C(OC2=CC=C(C=C2)O)C=C1)(CC3SC3)=O
STSMSPOAFPZOFC-UHFFFAOYNA-N,CHEMBL2063276,4314,N,4.92,chembl20,831071,9606,MMP3,2669,O=S(C1=CC=C(C=C1)OC=2C=CC(=CC2)OCOC)(CC3SC3)=O
FRNDBEYBKGOTNX-YAQRNVERNA-N,CHEMBL139609,4314,A,6.59,chembl20,104579,9606,MMP3,2669,S(N1C(C(O)=NO)CCC1)(C=2C=CC(=CC2)OC)(=O)=O
FQLYLGDLLIEWGU-UHFFFAOYNA-N,CHEMBL41067,4314,N,3.21,chembl20,104731,9606,MMP3,2669,N#CC1=CC=C(C=C1)C=2C=CC(OCC(N(C=O)O)C)=CC2
GLGBGXFJYXKPIT-XEODEJGLNA-N,CHEMBL290892,4314,N,3.92,chembl20,104736,9606,MMP3,2669,C=1(SC(S)=NN1)NC(NC2=C(C=C(C=C2)Cl)C)=O
CXKWJJJVWDMSAG-UHFFFAOYNA-N,CHEMBL2063270,4314,N,4.7,chembl20,831072,9606,MMP3,2669,O=S(C1=CC=C(OC=2C=CC(=CC2)F)C=C1)(CC3SC3)=O
DBVIHPVOZIIXAL-LILDFLRNNA-N,CHEMBL200385,4314,N,3.42,chembl20,327979,9606,MMP3,2669,C=1C(=CC=C(C1)OC=2C=CC=CC2)CCN(C(=NO)O)C
KIVYTNANTFIVKL-WYUMXYHSNA-N,CHEMBL82203,4314,A,6.03,chembl20,458936,9606,MMP3,2669,S(N(CC(O)=NO)CC(C)C)(C1=CC=C(C=C1)Cl)(=O)=O
LWBGXTORWSRDHX-JLGFQASFNA-N,CHEMBL173075,4314,N,4.52,chembl20,205496,9606,MMP3,2669,C1(C(C(=O)NC(N1)=O)(C=2C=CC=CC2)CCCCCC)=O
MICNEWMYBPETEW-WYUMXYHSNA-N,CHEMBL84594,4314,A,5.74,chembl20,104740,9606,MMP3,2669,S(N(CC(O)=NO)C(CC)C)(C1=CC=C(C=C1)OC)(=O)=O
MERJKQXKRDMMLJ-KGCNKATMNA-N,CHEMBL38573,4314,N,3.16,chembl20,104727,9606,MMP3,2669,C=1(SC(=S)N(N1)C)NC(=O)NCCC=2C=CC=CC2
IEHZWPSZVCILAW-VCUPQZCHNA-N,44333947,4314,A,5.01457,pubchem,104748,9606,MMP3,2669,O=C(N1NCCCC1)[C@H](CC(C)C)CC(O)=NO
HXAROWWJPCDNRW-HCKMINDGNA-N,CHEMBL140788,4314,A,8.15,chembl20,104579,9606,MMP3,2669,S(N1C(C(O)=NO)CCCCC1)(C=2C=CC(=CC2)OC)(=O)=O
JIRXORZYIXSWOB-WYUMXYHSNA-N,CHEMBL311932,4314,A,6.88,chembl20,458936,9606,MMP3,2669,C1=CC(=CC=C1S(=O)(=O)N(CC(C)C)CC(=NO)O)OC
JUSOSBKBFCYTPA-GPQMBLKYNA-N,CHEMBL420784,4314,A,5.9,chembl20,104740,9606,MMP3,2669,S(N(CC(O)=NO)C1CCCCC1)(C=2C=CC(=CC2)OC)(=O)=O
IRUGGGCJIRBYFM-YAQRNVERNA-N,54726663,4314,A,5.4318,pubchem,416398,9606,MMP3,2669,O1C(C(=O)NCC=2C=CC(O)=CC2)C(=O)C(=O)C=C1C
