Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL211487,,0,436.53,0,1.78,17d,CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)CCC)CC2)cc1,IC50,'=',725,nM,6.14,,,UO_0000065,14.06,0.28,4.36,5.43,0,CHEMBL867338,Inhibition of MMP14,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3869,Matrix metalloproteinase 14,Homo sapiens,SINGLE PROTEIN,CHEMBL1138965,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None,
CHEMBL377272,,0,452.53,0,1.01,17e,CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)CCOC)CC2)cc1,IC50,'=',891,nM,6.05,,,UO_0000065,13.37,0.27,5.04,4.95,0,CHEMBL867338,Inhibition of MMP14,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3869,Matrix metalloproteinase 14,Homo sapiens,SINGLE PROTEIN,CHEMBL1138965,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None,
CHEMBL1795351,,0,392.5,0,2.27,4,CCCCc1ccc(C#Cc2ccc(S(=O)(=O)NCC(=O)NO)s2)cc1,IC50,'=',700,nM,6.16,,,UO_0000065,15.68,0.32,3.88,6.44,0,CHEMBL1799652,Inhibition of human MMP14 by fluorometric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3869,Matrix metalloproteinase 14,Homo sapiens,SINGLE PROTEIN,CHEMBL1795253,1,Scientific Literature,Eur. J. Med. Chem.,2011,None,
CHEMBL1795857,,0,588.75,2,5.46,5a,CCCCc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3ccc(OCc4ccccc4)cc3)C(=O)NO)s2)cc1,IC50,'=',2100,nM,5.68,,,UO_0000065,9.64,0.19,0.22,5.42,0,CHEMBL1799652,Inhibition of human MMP14 by fluorometric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3869,Matrix metalloproteinase 14,Homo sapiens,SINGLE PROTEIN,CHEMBL1795253,1,Scientific Literature,Eur. J. Med. Chem.,2011,None,
CHEMBL95237,,0,386.45,0,1.42,1,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)/C(=C/C(C)C)CC(=O)NO,IC50,'=',10,nM,8,,,UO_0000065,20.7,0.39,6.58,6.49,0,CHEMBL898158,Inhibition of MMP14,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3869,Matrix metalloproteinase 14,Homo sapiens,SINGLE PROTEIN,CHEMBL1149586,1,Scientific Literature,Bioorg. Med. Chem.,2007,None,
CHEMBL236446,,0,428.53,0,2.73,2a,CCCCCC/C=C(\CC(=O)NO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC,IC50,'=',2660,nM,5.58,,,UO_0000065,13.01,0.25,2.85,4.52,0,CHEMBL898158,Inhibition of MMP14,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3869,Matrix metalloproteinase 14,Homo sapiens,SINGLE PROTEIN,CHEMBL1149586,1,Scientific Literature,Bioorg. Med. Chem.,2007,None,
CHEMBL250502,,0,484.57,0,2.6,12h,CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCCN(C(=O)c3ccccc3C)C2)cc1,IC50,'=',1860,nM,5.73,,,UO_0000065,11.83,0.23,3.13,5.07,0,CHEMBL888221,Inhibition of MMP14,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3869,Matrix metalloproteinase 14,Homo sapiens,SINGLE PROTEIN,CHEMBL1140008,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL399098,,0,484.57,0,2.6,12j,CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCCN(C(=O)c3ccc(C)cc3)C2)cc1,Ratio IC50,'>',100,,,,,,,,,,0,CHEMBL888225,Selectivity for TACE over MMP14,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL612545,Unchecked,,UNCHECKED,CHEMBL1140008,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL250503,,0,484.57,0,2.6,12i,CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCCN(C(=O)c3cccc(C)c3)C2)cc1,Ratio IC50,'>',100,,,,,,,,,,0,CHEMBL888225,Selectivity for TACE over MMP14,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL612545,Unchecked,,UNCHECKED,CHEMBL1140008,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL399096,,0,466.56,0,2.24,12c,CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCCN(C(=O)OCC(C)C)C2)cc1,Ratio IC50,'=',1100,,,,,,,,,,0,CHEMBL888225,Selectivity for TACE over MMP14,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL612545,Unchecked,,UNCHECKED,CHEMBL1140008,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL447787,,0,521.62,1,3.68,19,CC(C)c1nc2ccccc2n1Cc1ccc(C(=O)N[C@@H]2CN(C(=O)OC(C)(C)C)C[C@@H]2C(=O)NO)cc1,Ki,'>',5290,nM,,,,UO_0000065,,,,,0,CHEMBL946135,Inhibition of MMP14,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3869,Matrix metalloproteinase 14,Homo sapiens,SINGLE PROTEIN,CHEMBL1141492,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,None,
CHEMBL1940316,,0,480.59,0,2.2,23,O=C(NC1CCS(=O)(=O)C1)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL1943711,Inhibition of MMP14 using Mca-Pro-cyclohexyl-Ala-Gly-Nva-His-Ala- Dap(Dnp)-NH2 as substrate by fluorometric analysis,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3869,Matrix metalloproteinase 14,Homo sapiens,SINGLE PROTEIN,CHEMBL1938343,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012,None,
CHEMBL410462,,0,420.47,0,3.35,34,COC(=O)[C@@]1(Cc2ccc(OCc3cc(C)nc4ccccc34)cc2)C[C@@H]1C(=O)NO,Ratio Ki,'=',1800,,,,,,,,,,0,CHEMBL933416,Selectivity for human recombinant TACE over MMP14,B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL612545,Unchecked,,UNCHECKED,CHEMBL1141652,1,Scientific Literature,J. Med. Chem.,2008,None,
CHEMBL1269886,,0,434.49,0,4.17,17,Cc1cc(NC(=O)NCCCC[C@@H](Nc2cc(C)c(F)c(C)c2)C(=O)NO)ccc1F,FC,'>',500,,,,,,,,,,0,CHEMBL1273403,Selectivity for Bacillus anthracis lethal factor over MMP14,B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL612545,Unchecked,,UNCHECKED,CHEMBL1268892,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,None,
CHEMBL2153263,,0,216.27,0,2.27,6,Nc1nc2c(-c3ccsc3)nccc2[nH]1,IC50,'=',6.4,ug.mL-1,,,,UO_0000274,,,,,0,CHEMBL2154857,Inhibition of MMP14 using MOCAc-Pro-Leu-Gly-Leu-A2pr(Dnp)-Ala-Arg- NH2 as substrate preincubated for 10 mins measured after 3 hrs by fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3869,Matrix metalloproteinase 14,Homo sapiens,SINGLE PROTEIN,CHEMBL2150858,1,Scientific Literature,J. Med. Chem.,2011,None,
