Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL474398,,0,521.57,1,3.38,(R)-5,Cc1noc(C)c1S(=O)(=O)Nc1ccc2c(c1)oc1ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc12,IC50,'=',34000,nM,4.47,,,UO_0000065,8.57,0.17,1.09,2.65,0,CHEMBL960892,Inhibition of human recombinant MMP13 expressed in Escherichia coli,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL280,Matrix metalloproteinase 13,Homo sapiens,SINGLE PROTEIN,CHEMBL1153372,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL392572,,0,472.36,0,2.57,1l,COc1ccc(S(=O)(=O)N(Cc2cccnc2Br)[C@@H](C(=O)NO)C(C)C)cc1,IC50,'=',59,nM,7.23,,,UO_0000065,15.3,0.35,4.66,6.64,0,CHEMBL901571,Inhibition of MMP13,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL280,Matrix metalloproteinase 13,Homo sapiens,SINGLE PROTEIN,CHEMBL1138259,1,Scientific Literature,J. Med. Chem.,2007,None,
CHEMBL236565,,0,517.39,1,3.8,5h,CC(C)[C@H](C(=O)O)N(Cc1ccccc1)S(=O)(=O)c1ccc(OCCI)cc1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL901571,Inhibition of MMP13,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL280,Matrix metalloproteinase 13,Homo sapiens,SINGLE PROTEIN,CHEMBL1138259,1,Scientific Literature,J. Med. Chem.,2007,None,
CHEMBL235318,,0,396.44,0,2.53,5k,COc1ccc(S(=O)(=O)N(Cc2ccc(F)nc2)[C@@H](C(=O)O)C(C)C)cc1,IC50,'=',30000,nM,4.52,,,UO_0000065,11.41,0.23,1.99,4.67,0,CHEMBL901571,Inhibition of MMP13,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL280,Matrix metalloproteinase 13,Homo sapiens,SINGLE PROTEIN,CHEMBL1138259,1,Scientific Literature,J. Med. Chem.,2007,None,
CHEMBL329298,,0,497.61,0,1.49,9t,COc1ccc(S(=O)(=O)N(C)C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)N2CCOCC2)cc1,IC50,'=',20,nM,7.7,,,UO_0000065,15.47,0.31,6.21,6.14,1,CHEMBL710979,Inhibition of Coll-3 MMP-13,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL280,Matrix metalloproteinase 13,Homo sapiens,SINGLE PROTEIN,CHEMBL1132007,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1999,None,
CHEMBL123563,,0,474.52,0,-0.13,18,COc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3c(C)noc3C)CC2C(=O)NO)cc1,IC50,'=',1.3,nM,8.89,,,UO_0000065,18.73,0.39,9.02,5.58,0,CHEMBL719143,In vitro inhibitory activity against matrix metalloprotease-13 (MMP-13),B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL280,Matrix metalloproteinase 13,Homo sapiens,SINGLE PROTEIN,CHEMBL1133577,1,Scientific Literature,J. Med. Chem.,2000,None,
CHEMBL126461,,0,480.98,0,4.42,1,O=C(NO)C(CCn1nnc2ccccc2c1=O)CSc1ccc(-c2ccc(Cl)cc2)cc1,IC50,'=',1.2,nM,8.92,,,UO_0000065,18.55,0.37,4.5,9.19,0,CHEMBL717443,Inhibitory activity against matrix metalloprotease-13 (MMP13),B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL280,Matrix metalloproteinase 13,Homo sapiens,SINGLE PROTEIN,CHEMBL1145069,1,Scientific Literature,J. Med. Chem.,2003,None,
CHEMBL368079,,0,260.38,0,2.03,3b,COc1ccc(S(=O)(=O)C[C@H](C)CS)cc1,IC50,'=',475,nM,6.32,,,UO_0000065,24.28,0.54,4.29,14.58,0,CHEMBL716177,Inhibition of Matrix metalloprotease-13 (MMP-13),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL280,Matrix metalloproteinase 13,Homo sapiens,SINGLE PROTEIN,CHEMBL1131666,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1999,None,
CHEMBL123967,,0,393.44,0,-1.16,15,COc1ccc(S(=O)(=O)N2CCN(S(C)(=O)=O)CC2C(=O)NO)cc1,IC50,'=',1,nM,9,,,UO_0000065,22.88,0.49,10.16,6.75,0,CHEMBL719143,In vitro inhibitory activity against matrix metalloprotease-13 (MMP-13),B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL280,Matrix metalloproteinase 13,Homo sapiens,SINGLE PROTEIN,CHEMBL1133577,1,Scientific Literature,J. Med. Chem.,2000,None,
CHEMBL116348,,0,314.36,0,0.79,3,COc1ccc(S(=O)(=O)NC2(C(=O)NO)CCCC2)cc1,IC50,'=',50,nM,7.3,,,UO_0000065,23.23,0.47,6.51,6.97,0,CHEMBL717437,Inhibitory activity against matrix metalloprotease-13 (MMP-13),B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL280,Matrix metalloproteinase 13,Homo sapiens,SINGLE PROTEIN,CHEMBL1147455,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2004,None,
