Compound ID,Uniprot ID,Compound Name,Standard inchi key,Max Phase,Target Pref Name,Gene Names,Target Class,Wild type or mutant,Mutation information,PubMed ID,End Point Standard Type,End Point Standard Relation,End Point Standard Value,End Point Standard Units,Endpoint Mode of Action,Assay Format,Assay Type,Assay Sub Type,Inhibitor Type,Detection Technology,Compound concentration value,Compound concentration value units,Substrate type,Substrate Type Standard Relation,Substrate Type Standard Value,Substrate Type Standard Units,Assay cell line,Assay Description,Activity Comments,Title,Journal,Year,Volume,Issue,Authors,Annotation Comments,Assay ID,DTC Tid,DTC Activity ID,DTC Molregno,Record ID,DTC Document ID
CHEMBL100081,P45452,,QDBZCMIHMMMYES-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 13,MMP13,Enzyme,,,11677139,IC50,=,56,NM,,,,,,,,,,,,,,In vitro inhibition of Matrix metalloprotease-13.,,The discovery of anthranilic acid-based MMP inhibitors. Part 3: incorporation of basic amines.,Bioorg. Med. Chem. Lett.,2001,11,22,"Levin JI, Chen JM, Du MT, Nelson FC, Wehr T, DiJoseph JF, Killar LM, Skala S, Sung A, Sharr MA, Roth CE, Jin G, Cowling R, Di L, Sherman M, Xu ZB, March CJ, Mohler KM, Black RA, Skotnicki JS",,106763,DTCT0024002,1609704,DTCC00269343,453142,4590
CHEMBL100100,P45452,,ZRDGYJAMDSHROJ-RPBOFIJWSA-N,0,MATRIX METALLOPROTEINASE 13,MMP13,Enzyme,,,10522712,IC50,=,8,NM,,,,,,,,,,,,,,Inhibition of Coll-3 MMP-13,,The synthesis and biological evaluation of non-peptidic matrix metalloproteinase inhibitors.,Bioorg. Med. Chem. Lett.,1999,9,19,"Martin FM, Beckett RP, Bellamy CL, Courtney PF, Davies SJ, Drummond AH, Dodd R, Pratt LM, Patel SR, Ricketts ML, Todd RS, Tuffnell AR, Ward JW, Whittaker M",,101904,DTCT0024002,1453249,DTCC00264536,982314,3373
CHEMBL100100,P45452,,ZRDGYJAMDSHROJ-RPBOFIJWSA-N,0,MATRIX METALLOPROTEINASE 13,MMP13,Enzyme,,,17275314,IC50,=,7.94,NM,,,,,,,,,,,,,,Inhibition of MMP13,,Matrix metalloproteinases (MMPs): chemical-biological functions and (Q)SARs.,Bioorg. Med. Chem.,2007,15,6,"Verma RP, Hansch C",,458933,DTCT0024002,2258639,DTCC00264536,972938,24803
CHEMBL100134,P45452,,AWDZLFOJMUGNPS-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 13,MMP13,Enzyme,,,11677139,IC50,=,7,NM,,,,,,,,,,,,,,In vitro inhibition of Matrix metalloprotease-13.,,The discovery of anthranilic acid-based MMP inhibitors. Part 3: incorporation of basic amines.,Bioorg. Med. Chem. Lett.,2001,11,22,"Levin JI, Chen JM, Du MT, Nelson FC, Wehr T, DiJoseph JF, Killar LM, Skala S, Sung A, Sharr MA, Roth CE, Jin G, Cowling R, Di L, Sherman M, Xu ZB, March CJ, Mohler KM, Black RA, Skotnicki JS",,106763,DTCT0024002,1600777,DTCC00269627,841776,4590
CHEMBL100146,P45452,,ZLOBLTFULLQWKZ-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 13,MMP13,Enzyme,,,12270165,IC50,=,26,NM,,,,,,,,,,,,,,Concentration required in vitro to inhibit Matrix metalloprotease-13,,Benzodiazepine inhibitors of the MMPs and TACE.,Bioorg. Med. Chem. Lett.,2002,12,20,"Nelson FC, Delos Santos E, Levin JI, Chen JM, Skotnicki JS, DiJoseph JF, Sharr MA, Sung A, Killar LM, Cowling R, Jin G, Roth CE, Albright JD",,106631,DTCT0024002,1532839,DTCC00263161,1882578,5143
CHEMBL100273,P45452,,CVJMAXDBGIRLPL-MNOVXSKESA-N,0,MATRIX METALLOPROTEINASE 13,MMP13,Enzyme,,,10522712,IC50,=,2000,NM,,,,,,,,,,,,,,Inhibition of Coll-3 MMP-13,,The synthesis and biological evaluation of non-peptidic matrix metalloproteinase inhibitors.,Bioorg. Med. Chem. Lett.,1999,9,19,"Martin FM, Beckett RP, Bellamy CL, Courtney PF, Davies SJ, Drummond AH, Dodd R, Pratt LM, Patel SR, Ricketts ML, Todd RS, Tuffnell AR, Ward JW, Whittaker M",,101904,DTCT0024002,1478679,DTCC00264430,885728,3373
CHEMBL100273,P45452,,CVJMAXDBGIRLPL-MNOVXSKESA-N,0,MATRIX METALLOPROTEINASE 13,MMP13,Enzyme,,,17275314,IC50,=,1995.26,NM,,,,,,,,,,,,,,Inhibition of MMP13,,Matrix metalloproteinases (MMPs): chemical-biological functions and (Q)SARs.,Bioorg. Med. Chem.,2007,15,6,"Verma RP, Hansch C",,458933,DTCT0024002,2258626,DTCC00264430,876665,24803
CHEMBL100280,P45452,,WGMQZHYPIKBUML-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 13,MMP13,Enzyme,,,11677139,IC50,=,14,NM,,,,,,,,,,,,,,In vitro inhibition of Matrix metalloprotease-13.,,The discovery of anthranilic acid-based MMP inhibitors. Part 3: incorporation of basic amines.,Bioorg. Med. Chem. Lett.,2001,11,22,"Levin JI, Chen JM, Du MT, Nelson FC, Wehr T, DiJoseph JF, Killar LM, Skala S, Sung A, Sharr MA, Roth CE, Jin G, Cowling R, Di L, Sherman M, Xu ZB, March CJ, Mohler KM, Black RA, Skotnicki JS",,106763,DTCT0024002,1612117,DTCC00269055,1968639,4590
CHEMBL100512,P45452,,YIIGCCOQJNYBNF-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 13,MMP13,Enzyme,,,11677139,IC50,=,12,NM,,,,,,,,,,,,,,In vitro inhibition of Matrix metalloprotease-13.,,The discovery of anthranilic acid-based MMP inhibitors. Part 3: incorporation of basic amines.,Bioorg. Med. Chem. Lett.,2001,11,22,"Levin JI, Chen JM, Du MT, Nelson FC, Wehr T, DiJoseph JF, Killar LM, Skala S, Sung A, Sharr MA, Roth CE, Jin G, Cowling R, Di L, Sherman M, Xu ZB, March CJ, Mohler KM, Black RA, Skotnicki JS",,106763,DTCT0024002,1621222,DTCC00269127,1326740,4590
CHEMBL100564,P45452,,CFEKPCYWRLBSBI-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 13,MMP13,Enzyme,,,11677139,IC50,=,6,NM,,,,,,,,,,,,,,In vitro inhibition of Matrix metalloprotease-13.,,The discovery of anthranilic acid-based MMP inhibitors. Part 3: incorporation of basic amines.,Bioorg. Med. Chem. Lett.,2001,11,22,"Levin JI, Chen JM, Du MT, Nelson FC, Wehr T, DiJoseph JF, Killar LM, Skala S, Sung A, Sharr MA, Roth CE, Jin G, Cowling R, Di L, Sherman M, Xu ZB, March CJ, Mohler KM, Black RA, Skotnicki JS",,106763,DTCT0024002,1603358,DTCC00269128,422247,4590
