Compound ID,Uniprot ID,Compound Name,Standard inchi key,Max Phase,Target Pref Name,Gene Names,Target Class,Wild type or mutant,Mutation information,PubMed ID,End Point Standard Type,End Point Standard Relation,End Point Standard Value,End Point Standard Units,Endpoint Mode of Action,Assay Format,Assay Type,Assay Sub Type,Inhibitor Type,Detection Technology,Compound concentration value,Compound concentration value units,Substrate type,Substrate Type Standard Relation,Substrate Type Standard Value,Substrate Type Standard Units,Assay cell line,Assay Description,Activity Comments,Title,Journal,Year,Volume,Issue,Authors,Annotation Comments,Assay ID,DTC Tid,DTC Activity ID,DTC Molregno,Record ID,DTC Document ID
CHEMBL108494,P39900,,MBSMJAHZPVXQCK-HIGJEIRPSA-N,0,MATRIX METALLOPROTEINASE 12,MMP12,Enzyme,,,11563922,KI,=,410,NM,,,,,,,,,,,,,,In Vitro inhibitory activity against the catalytic domain of the matrix metalloprotease-12,,"Structure-based design and synthesis of potent matrix metalloproteinase inhibitors derived from a 6H-1,3,4-thiadiazine scaffold.",J. Med. Chem.,2001,44,20,"Schröder J, Henke A, Wenzel H, Brandstetter H, Stammler HG, Stammler A, Pfeiffer WD, Tschesche H",,106458,DTCT0024517,1704494,DTCC00282283,1196752,16424
CHEMBL108494,P39900,,MBSMJAHZPVXQCK-HIGJEIRPSA-N,0,MATRIX METALLOPROTEINASE 12,MMP12,Enzyme,,,18790648,KI,=,410,NM,,,,,,,,,,,,,,Inhibition of MMP12,,Specific targeting of metzincin family members with small-molecule inhibitors: progress toward a multifarious challenge.,Bioorg. Med. Chem.,2008,16,19,"Georgiadis D, Yiotakis A",,497414,DTCT0024517,2457382,DTCC00282283,1210750,32556
CHEMBL109214,P39900,,PDKBAEDNMKVROV-CQSZACIVSA-N,0,MATRIX METALLOPROTEINASE 12,MMP12,Enzyme,,,11563922,KI,=,90,NM,,,,,,,,,,,,,,In Vitro inhibitory activity against the catalytic domain of the matrix metalloprotease-12,,"Structure-based design and synthesis of potent matrix metalloproteinase inhibitors derived from a 6H-1,3,4-thiadiazine scaffold.",J. Med. Chem.,2001,44,20,"Schröder J, Henke A, Wenzel H, Brandstetter H, Stammler HG, Stammler A, Pfeiffer WD, Tschesche H",,106458,DTCT0024517,1718167,DTCC00282259,422410,16424
CHEMBL109214,P39900,,PDKBAEDNMKVROV-CQSZACIVSA-N,0,MATRIX METALLOPROTEINASE 12,MMP12,Enzyme,,,17275314,KI,=,89.13,NM,,,,,,,,,,,,,,Inhibition of MMP12,,Matrix metalloproteinases (MMPs): chemical-biological functions and (Q)SARs.,Bioorg. Med. Chem.,2007,15,6,"Verma RP, Hansch C",,458938,DTCT0024517,2258745,DTCC00282259,424710,24803
CHEMBL109353,P39900,,JXHAGXRDZALSLG-GFCCVEGCSA-N,0,MATRIX METALLOPROTEINASE 12,MMP12,Enzyme,,,11563922,KI,=,320,NM,,,,,,,,,,,,,,In Vitro inhibitory activity against the catalytic domain of the matrix metalloprotease-12,,"Structure-based design and synthesis of potent matrix metalloproteinase inhibitors derived from a 6H-1,3,4-thiadiazine scaffold.",J. Med. Chem.,2001,44,20,"Schröder J, Henke A, Wenzel H, Brandstetter H, Stammler HG, Stammler A, Pfeiffer WD, Tschesche H",,106458,DTCT0024517,1716617,DTCC00282683,357026,16424
CHEMBL109353,P39900,,JXHAGXRDZALSLG-GFCCVEGCSA-N,0,MATRIX METALLOPROTEINASE 12,MMP12,Enzyme,,,17275314,KI,=,323.59,NM,,,,,,,,,,,,,,Inhibition of MMP12,,Matrix metalloproteinases (MMPs): chemical-biological functions and (Q)SARs.,Bioorg. Med. Chem.,2007,15,6,"Verma RP, Hansch C",,458938,DTCT0024517,2258751,DTCC00282683,359210,24803
CHEMBL109579,P39900,,LEDMBBYIVRLZAS-LBPRGKRZSA-N,0,MATRIX METALLOPROTEINASE 12,MMP12,Enzyme,,,11563922,KI,=,280,NM,,,,,,,,,,,,,,In Vitro inhibitory activity against the catalytic domain of the matrix metalloprotease-12,,"Structure-based design and synthesis of potent matrix metalloproteinase inhibitors derived from a 6H-1,3,4-thiadiazine scaffold.",J. Med. Chem.,2001,44,20,"Schröder J, Henke A, Wenzel H, Brandstetter H, Stammler HG, Stammler A, Pfeiffer WD, Tschesche H",,106458,DTCT0024517,1713953,DTCC00282314,258563,16424
CHEMBL109579,P39900,,LEDMBBYIVRLZAS-LBPRGKRZSA-N,0,MATRIX METALLOPROTEINASE 12,MMP12,Enzyme,,,17275314,KI,=,281.84,NM,,,,,,,,,,,,,,Inhibition of MMP12,,Matrix metalloproteinases (MMPs): chemical-biological functions and (Q)SARs.,Bioorg. Med. Chem.,2007,15,6,"Verma RP, Hansch C",,458938,DTCT0024517,2258739,DTCC00282314,260723,24803
CHEMBL109603,P39900,,JOKZNFFZUNYVMR-SFHVURJKSA-N,0,MATRIX METALLOPROTEINASE 12,MMP12,Enzyme,,,11563922,KI,=,380,NM,,,,,,,,,,,,,,In Vitro inhibitory activity against the catalytic domain of the matrix metalloprotease-12,,"Structure-based design and synthesis of potent matrix metalloproteinase inhibitors derived from a 6H-1,3,4-thiadiazine scaffold.",J. Med. Chem.,2001,44,20,"Schröder J, Henke A, Wenzel H, Brandstetter H, Stammler HG, Stammler A, Pfeiffer WD, Tschesche H",,106458,DTCT0024517,1693274,DTCC00281761,2034295,16424
CHEMBL109603,P39900,,JOKZNFFZUNYVMR-SFHVURJKSA-N,0,MATRIX METALLOPROTEINASE 12,MMP12,Enzyme,,,17275314,KI,=,380.19,NM,,,,,,,,,,,,,,Inhibition of MMP12,,Matrix metalloproteinases (MMPs): chemical-biological functions and (Q)SARs.,Bioorg. Med. Chem.,2007,15,6,"Verma RP, Hansch C",,458938,DTCT0024517,2258744,DTCC00281761,2036415,24803
CHEMBL109655,P39900,,PDKBAEDNMKVROV-AWEZNQCLSA-N,0,MATRIX METALLOPROTEINASE 12,MMP12,Enzyme,,,11563922,KI,=,110,NM,,,,,,,,,,,,,,In Vitro inhibitory activity against the catalytic domain of the matrix metalloprotease-12,,"Structure-based design and synthesis of potent matrix metalloproteinase inhibitors derived from a 6H-1,3,4-thiadiazine scaffold.",J. Med. Chem.,2001,44,20,"Schröder J, Henke A, Wenzel H, Brandstetter H, Stammler HG, Stammler A, Pfeiffer WD, Tschesche H",,106458,DTCT0024517,1689450,DTCC00281762,2066041,16424
