Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL126044,,0,491.57,0,-0.39,17,COc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3sc(N)nc3C)CC2C(=O)NO)cc1,IC50,'=',2.1,nM,8.68,,,UO_0000065,17.65,0.38,9.07,5.04,0,CHEMBL712559,In vitro inhibitory activity against matrix metalloprotease-9 (MMP-9),B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL321,Matrix metalloproteinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1133577,1,Scientific Literature,J. Med. Chem.,2000,None,
CHEMBL123563,,0,474.52,0,-0.13,18,COc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3c(C)noc3C)CC2C(=O)NO)cc1,IC50,'=',2.4,nM,8.62,,,UO_0000065,18.17,0.38,8.75,5.41,0,CHEMBL712559,In vitro inhibitory activity against matrix metalloprotease-9 (MMP-9),B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL321,Matrix metalloproteinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1133577,1,Scientific Literature,J. Med. Chem.,2000,None,
CHEMBL379763,,0,486.61,0,1.58,17t,CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(S(=O)(=O)CCCC)CC2)cc1,IC50,'=',19,nM,7.72,,,UO_0000065,15.87,0.33,6.14,5.94,0,CHEMBL866143,Inhibition of MMP9,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL321,Matrix metalloproteinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1138965,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None,
CHEMBL191135,,0,360.35,0,2.47,10,CCOP(=O)(c1ccccc1)N1Cc2ccccc2C[C@@H]1C(=O)NO,Ki,'=',42.66,nM,7.37,,,UO_0000065,20.45,0.4,4.9,9.34,0,CHEMBL835394,Inhibition of MOCAc-Pro-Leu-Gly-Leu-A2p (Dnp)-Ala-Arg-NH2 binding to human matrix metalloprotease-9 (MMP-9),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL321,Matrix metalloproteinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1141157,1,Scientific Literature,J. Med. Chem.,2005,None,
CHEMBL190621,,0,467.46,0,3.85,22,CCOP(=O)(c1ccc(Oc2ccc(N)cc2)cc1)N1Cc2ccccc2C[C@@H]1C(=O)NO,Ki,'=',0.1,nM,10,,,UO_0000065,21.39,0.41,6.15,8.76,0,CHEMBL835394,Inhibition of MOCAc-Pro-Leu-Gly-Leu-A2p (Dnp)-Ala-Arg-NH2 binding to human matrix metalloprotease-9 (MMP-9),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL321,Matrix metalloproteinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1141157,1,Scientific Literature,J. Med. Chem.,2005,None,
CHEMBL189945,,0,388.4,0,3.39,23,CCOP(=O)(CCc1ccccc1)N1Cc2ccccc2C[C@@H]1C(=O)NO,Ki,'=',38.28,nM,7.42,,,UO_0000065,19.1,0.38,4.03,9.4,0,CHEMBL835394,Inhibition of MOCAc-Pro-Leu-Gly-Leu-A2p (Dnp)-Ala-Arg-NH2 binding to human matrix metalloprotease-9 (MMP-9),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL321,Matrix metalloproteinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1141157,1,Scientific Literature,J. Med. Chem.,2005,None,
CHEMBL359424,,0,318.37,0,1.64,5e,C=CCOc1ccc([C@]2(C)CCN([C@H](C)C(=O)NO)C2=O)cc1,Ki,'=',11,nM,7.96,,,UO_0000065,25,0.47,6.32,10.09,0,CHEMBL712453,Affinity towards Matrix metalloprotease-9 (MMP-9),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL321,Matrix metalloproteinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1135609,1,Scientific Literature,J. Med. Chem.,2002,None,
CHEMBL115727,,0,513.59,1,1.26,134,COc1ccc(S(=O)(=O)N2CC(C)(C)CN(S(=O)(=O)c3ccc(OC)cc3)C2C(=O)NO)cc1,Ki,'=',30,nM,7.52,,,UO_0000065,14.65,0.3,6.26,5.28,0,CHEMBL718976,Inhibition of matrix metalloprotease-9 (MMP-9).,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL321,Matrix metalloproteinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1133572,1,Scientific Literature,J. Med. Chem.,2000,None,
CHEMBL57056,,0,437.53,0,1.11,7,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1ccc(-n2cccc2)nc1,IC50,'=',15,nM,7.82,,,UO_0000065,17.88,0.34,6.71,6.57,0,CHEMBL712039,Compound was tested for its inhibitory activity against 92 kD gelatinase (MMP-9),B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL321,Matrix metalloproteinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1129758,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1996,None,
CHEMBL1830141,,0,273.72,0,3.7,5q,O=C(/C=C/c1cccc(O)c1)Nc1cccc(Cl)c1,Ratio IC50,'=',2,,,,,,,,,,0,CHEMBL2338834,Selectivity ratio of IC50 for human recombinant MMP1 to IC50 for human recombinant MMP9,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL612545,Unchecked,,UNCHECKED,CHEMBL2331288,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013,None,
