Compound ID,Uniprot ID,Compound Name,Standard inchi key,Max Phase,Target Pref Name,Gene Names,Target Class,Wild type or mutant,Mutation information,PubMed ID,End Point Standard Type,End Point Standard Relation,End Point Standard Value,End Point Standard Units,Endpoint Mode of Action,Assay Format,Assay Type,Assay Sub Type,Inhibitor Type,Detection Technology,Compound concentration value,Compound concentration value units,Substrate type,Substrate Type Standard Relation,Substrate Type Standard Value,Substrate Type Standard Units,Assay cell line,Assay Description,Activity Comments,Title,Journal,Year,Volume,Issue,Authors,Annotation Comments,Assay ID,DTC Tid,DTC Activity ID,DTC Molregno,Record ID,DTC Document ID
CHEMBL10,P14780,SB-203580,CDMGBJANTYXAIV-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 9,MMP9,Enzyme,,,,IC50,,,,,cell_based,,,,,,,,,,,Mammalian cells,"DRUGMATRIX: Protease, Matrix Metalloprotease-9 (MMP-9) enzyme inhibition (substrate: Mca-Pro-Leu-Gly-Leu-Dpa-Ala-Arg-NH2)",Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774676,DTCT0024844,7484161,DTCC00132413,2089752,46191
CHEMBL10,P14780,SB-203580,CDMGBJANTYXAIV-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 9,MMP9,Enzyme,,,,KI,,,,,cell_based,,,,,,,,,,,Mammalian cells,"DRUGMATRIX: Protease, Matrix Metalloprotease-9 (MMP-9) enzyme inhibition (substrate: Mca-Pro-Leu-Gly-Leu-Dpa-Ala-Arg-NH2)",Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774676,DTCT0024844,7484162,DTCC00132413,2089752,46191
CHEMBL100081,P14780,,QDBZCMIHMMMYES-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 9,MMP9,Enzyme,,,11677139,IC50,=,7,NM,,,,,,,,,,,,,,In vitro inhibition of Matrix metalloprotease-9.,,The discovery of anthranilic acid-based MMP inhibitors. Part 3: incorporation of basic amines.,Bioorg. Med. Chem. Lett.,2001,11,22,"Levin JI, Chen JM, Du MT, Nelson FC, Wehr T, DiJoseph JF, Killar LM, Skala S, Sung A, Sharr MA, Roth CE, Jin G, Cowling R, Di L, Sherman M, Xu ZB, March CJ, Mohler KM, Black RA, Skotnicki JS",,105530,DTCT0024844,1609703,DTCC00269343,453142,4590
CHEMBL100134,P14780,,AWDZLFOJMUGNPS-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 9,MMP9,Enzyme,,,11677139,IC50,=,14,NM,,,,,,,,,,,,,,In vitro inhibition of Matrix metalloprotease-9.,,The discovery of anthranilic acid-based MMP inhibitors. Part 3: incorporation of basic amines.,Bioorg. Med. Chem. Lett.,2001,11,22,"Levin JI, Chen JM, Du MT, Nelson FC, Wehr T, DiJoseph JF, Killar LM, Skala S, Sung A, Sharr MA, Roth CE, Jin G, Cowling R, Di L, Sherman M, Xu ZB, March CJ, Mohler KM, Black RA, Skotnicki JS",,105530,DTCT0024844,1600776,DTCC00269627,841776,4590
CHEMBL100146,P14780,,ZLOBLTFULLQWKZ-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 9,MMP9,Enzyme,,,12270165,IC50,=,18,NM,,,,,,,,,,,,,,Concentration required in vitro to inhibit Matrix metalloprotease-9,,Benzodiazepine inhibitors of the MMPs and TACE.,Bioorg. Med. Chem. Lett.,2002,12,20,"Nelson FC, Delos Santos E, Levin JI, Chen JM, Skotnicki JS, DiJoseph JF, Sharr MA, Sung A, Killar LM, Cowling R, Jin G, Roth CE, Albright JD",,105515,DTCT0024844,1532838,DTCC00263161,1882578,5143
CHEMBL100280,P14780,,WGMQZHYPIKBUML-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 9,MMP9,Enzyme,,,11677139,IC50,=,5,NM,,,,,,,,,,,,,,In vitro inhibition of Matrix metalloprotease-9.,,The discovery of anthranilic acid-based MMP inhibitors. Part 3: incorporation of basic amines.,Bioorg. Med. Chem. Lett.,2001,11,22,"Levin JI, Chen JM, Du MT, Nelson FC, Wehr T, DiJoseph JF, Killar LM, Skala S, Sung A, Sharr MA, Roth CE, Jin G, Cowling R, Di L, Sherman M, Xu ZB, March CJ, Mohler KM, Black RA, Skotnicki JS",,105530,DTCT0024844,1612116,DTCC00269055,1968639,4590
CHEMBL100512,P14780,,YIIGCCOQJNYBNF-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 9,MMP9,Enzyme,,,11677139,IC50,=,1,NM,,,,,,,,,,,,,,In vitro inhibition of Matrix metalloprotease-9.,,The discovery of anthranilic acid-based MMP inhibitors. Part 3: incorporation of basic amines.,Bioorg. Med. Chem. Lett.,2001,11,22,"Levin JI, Chen JM, Du MT, Nelson FC, Wehr T, DiJoseph JF, Killar LM, Skala S, Sung A, Sharr MA, Roth CE, Jin G, Cowling R, Di L, Sherman M, Xu ZB, March CJ, Mohler KM, Black RA, Skotnicki JS",,105530,DTCT0024844,1621221,DTCC00269127,1326740,4590
CHEMBL100564,P14780,,CFEKPCYWRLBSBI-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 9,MMP9,Enzyme,,,11677139,IC50,=,5,NM,,,,,,,,,,,,,,In vitro inhibition of Matrix metalloprotease-9.,,The discovery of anthranilic acid-based MMP inhibitors. Part 3: incorporation of basic amines.,Bioorg. Med. Chem. Lett.,2001,11,22,"Levin JI, Chen JM, Du MT, Nelson FC, Wehr T, DiJoseph JF, Killar LM, Skala S, Sung A, Sharr MA, Roth CE, Jin G, Cowling R, Di L, Sherman M, Xu ZB, March CJ, Mohler KM, Black RA, Skotnicki JS",,105530,DTCT0024844,1603357,DTCC00269128,422247,4590
CHEMBL100570,P14780,,RNCWXNOSFWYLTA-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 9,MMP9,Enzyme,,,15163180,KI,=,46.7,NM,,,,,,,,,,,,,,Inhibition of recombinant human Matrix metalloprotease-9,,Sultam hydroxamates as novel matrix metalloproteinase inhibitors.,J. Med. Chem.,2004,47,12,"Cherney RJ, Mo R, Meyer DT, Hardman KD, Liu RQ, Covington MB, Qian M, Wasserman ZR, Christ DD, Trzaskos JM, Newton RC, Decicco CP",,105386,DTCT0024844,674930,DTCC00106694,970630,18131
CHEMBL100570,P14780,,RNCWXNOSFWYLTA-UHFFFAOYSA-N,0,MATRIX METALLOPROTEINASE 9,MMP9,Enzyme,,,16289878,KI,=,46.7,NM,,,,,,,,,,,,,,Binding affinity to MMP9,,Conversion of potent MMP inhibitors into selective TACE inhibitors.,Bioorg. Med. Chem. Lett.,2006,16,4,"Cherney RJ, King BW, Gilmore JL, Liu RQ, Covington MB, Duan JJ, Decicco CP",,334536,DTCT0024844,469044,DTCC00106694,984001,20373
