Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
COVZYZSDYWQREU-UHFFFAOYNA-N,2478,4318,A,5.28275,pubchem,625178,9606,MMP9,2672,S(OCCCCOS(=O)(=O)C)(=O)(=O)C
DGEZNRSVGBDHLK-UHFFFAOYNA-N,CHEMBL415879,4318,N,3.6,chembl20,715234,9606,MMP9,2672,N=1C=2C3=NC=CC=C3C=CC2C=CC1
MBKXTRZDNQFIJG-UHFFFAOYNA-N,CHEMBL122868,4318,N,4.92,chembl20,105388,9606,MMP9,2672,S(NO)(C1=CC=C(C=C1)OC)(=O)=O
SLJWCCMDGTZEGQ-UHFFFAOYNA-N,CHEMBL240963,4318,N,3.6,chembl20,715234,9606,MMP9,2672,O=C1C2=CC=CC=C2C(=O)CC1=O
UYGXLIUFUDWVHR-UHFFFAOYNA-N,CHEMBL121729,4318,N,4.85,chembl20,105388,9606,MMP9,2672,S(NO)(C=1C=CC(N(=O)=O)=CC1)(=O)=O
YNYVAXYTOIAEND-UHFFFAOYNA-N,CHEMBL121592,4318,N,4.89,chembl20,105388,9606,MMP9,2672,S(C1=CC(N(=O)=O)=CC=C1)(NO)(=O)=O
CDRGZNIXJYUKQP-UHFFFAOYNA-N,CHEMBL121501,4318,N,4.64,chembl20,105388,9606,MMP9,2672,S(C1=C(N(=O)=O)C=CC=C1)(NO)(=O)=O
QRDZFPUVLYEQTA-XWKXFZRBNA-N,CHEMBL1427477,4318,N,2.65,chembl20,715234,9606,MMP9,2672,OC(=O)C1=C2N=CC=CC2=CC=C1
LSHFFFVFHVCTTH-UHFFFAOYNA-N,CHEMBL122950,4318,A,5.05,chembl20,105388,9606,MMP9,2672,S(C=1C=C(N)C(=CC1)OC)(NO)(=O)=O
ZQFMPAUDTOJXIB-UHFFFAOYNA-N,CHEMBL332362,4318,A,5.77,chembl20,105388,9606,MMP9,2672,S(C1=CC(C(F)(F)F)=CC=C1)(NO)(=O)=O
ARYMJWFLWQKXFD-NDKGDYFDNA-N,CHEMBL1235568,4318,N,3.16,chembl20,715234,9606,MMP9,2672,OS(=O)(C)=NC1=CC=CC=2C1=NC=CC2
FPJLTHNGOJRXMU-UHFFFAOYNA-N,CHEMBL122925,4318,A,5.89,chembl20,105388,9606,MMP9,2672,C1(S(NO)(=O)=O)=C(C(F)=C(C(=C1F)F)F)F
DSHAKCWOEUEDGY-NDKGDYFDNA-N,CHEMBL227566,4318,N,3.58,chembl20,435728,9606,MMP9,2672,ON=C(O)CNOCC1=CC=C(C=C1)Cl
