Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL417061,,0,565.69,1,3.26,2f,CCCCNS(=O)(=O)c1ccccc1-c1ccc(C[C@H](CC(=O)NO)C(=O)N[C@H]2c3ccccc3C[C@H]2O)cc1,Ki,'=',2033,nM,5.69,,,UO_0000065,10.06,0.19,2.43,3.93,0,CHEMBL714998,Binding affinity for human gelatinase A (MMP-2),B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL333,Matrix metalloproteinase-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1135085,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002,None,
CHEMBL379287,,0,465.57,0,1.91,17x,CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)N(CC)CC)CC2)cc1,Selectivity ratio,'>',200,,,,,,,,,,0,CHEMBL868590,Selectivity for TACE over MMP2,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL612545,Unchecked,,UNCHECKED,CHEMBL1138965,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None,
CHEMBL519293,,0,422.51,0,3.68,3f,COc1ccc(/C=C/C(=O)N[C@H](C)C(=O)Nc2nnc(-c3ccc(C)cc3)s2)cc1,Activity,,,,,,Not Active,,,,,,0,CHEMBL1013139,Inhibition of MMP2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL333,Matrix metalloproteinase-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1155055,1,Scientific Literature,Bioorg. Med. Chem.,2008,None,
CHEMBL495491,,0,457.35,0,4.12,1d,C[C@@H](NC(=O)/C=C/c1ccccc1)C(=O)Nc1nnc(-c2ccc(Br)cc2)s1,Activity,,,,,,Not Active,,,,,,0,CHEMBL1013139,Inhibition of MMP2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL333,Matrix metalloproteinase-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1155055,1,Scientific Literature,Bioorg. Med. Chem.,2008,None,
CHEMBL495490,,0,396.45,0,3.5,1b,C[C@@H](NC(=O)/C=C/c1ccccc1)C(=O)Nc1nnc(-c2ccc(F)cc2)s1,Activity,,,,,,Not Active,,,,,,0,CHEMBL1013139,Inhibition of MMP2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL333,Matrix metalloproteinase-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1155055,1,Scientific Literature,Bioorg. Med. Chem.,2008,None,
CHEMBL231878,,0,543.66,1,0.81,25,CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(S(=O)(=O)N3CCC[C@H]3COC)CC2)cc1,IC50,'=',58,nM,7.24,,,UO_0000065,13.31,0.27,6.43,5.08,0,CHEMBL889858,Inhibition of MMP2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL333,Matrix metalloproteinase-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1146270,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL391880,,0,499.61,0,0.79,23,CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(S(=O)(=O)N3CCCC3)CC2)cc1,IC50,'=',31,nM,7.51,,,UO_0000065,15.03,0.31,6.72,5.63,0,CHEMBL889858,Inhibition of MMP2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL333,Matrix metalloproteinase-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1146270,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL391676,,0,541.67,1,1.91,19,CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(S(=O)(=O)c3nc(C)sc3C)CC2)cc1,IC50,'=',32,nM,7.5,,,UO_0000065,13.84,0.29,5.58,5.24,0,CHEMBL889858,Inhibition of MMP2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL333,Matrix metalloproteinase-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1146270,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL2336361,N-(4-FLUOROPHENYL)CINNAMAMIDE,0,241.26,0,3.48,7o,O=C(/C=C/c1ccccc1)Nc1ccc(F)cc1,Ratio IC50,'=',465,,,,,,,,,,0,CHEMBL2338835,Selectivity ratio of IC50 for human recombinant MMP1 to IC50 for human recombinant MMP2,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4523984,MMP-1/MMP-2,Homo sapiens,SELECTIVITY GROUP,CHEMBL2331288,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013,None,
CHEMBL1798007,,0,570.69,1,3.88,"2	 ZYJ- 34a",CC[C@H](C)[C@@H](CN1Cc2cc(OCC(=O)NO)ccc2C[C@H]1C(=O)Nc1ccc(OC)cc1)NC(=O)OC(C)(C)C,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL1832892,Inhibition of MMP2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL333,Matrix metalloproteinase-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1828628,1,Scientific Literature,J. Med. Chem.,2011,None,
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,SAHA,O=C(CCCCCCC(=O)Nc1ccccc1)NO,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL1832892,Inhibition of MMP2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL333,Matrix metalloproteinase-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1828628,1,Scientific Literature,J. Med. Chem.,2011,None,
CHEMBL1795861,,0,450.61,0,3.06,6,CCCCc1ccc(C#Cc2ccc(S(=O)(=O)N3CSC[C@H]3C(=O)NO)s2)cc1,IC50,'=',2.5,nM,8.6,,,UO_0000065,19.09,0.41,5.54,9.92,0,CHEMBL1799648,Inhibition of human MMP2 by fluorometric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL333,Matrix metalloproteinase-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1795253,1,Scientific Literature,Eur. J. Med. Chem.,2011,None,
CHEMBL240854,,0,606.68,1,2.77,46,Cc1cc(COc2ccc(C(=O)NCC3(N4CCN(Cc5ccccc5)CC4)C(=O)NC(=O)NC3=O)cc2)c2ccccc2n1,Ki,'=',2700,nM,5.57,,,UO_0000065,9.18,0.17,2.8,4.19,0,CHEMBL902116,Inhibition of MMP2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL333,Matrix metalloproteinase-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1138371,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
