Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL292659,,0,449.48,0,2.69,54,O=C(O)C(=O)[C@H]1Cc2ccccc2CN1S(=O)(=O)c1ccc(C(=O)c2ccccc2)cc1,IC50,'=',300,nM,6.52,,,UO_0000065,14.51,0.28,3.83,5.99,0,CHEMBL717812,"Inhibition of human neutrophil collagenase [Matrix Metalloprotease-8	 MMP-8]",B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1132223,1,Scientific Literature,J. Med. Chem.,1999,None,
CHEMBL1795862,,0,494.64,0,4.11,7,CCCCc1ccc(C#Cc2ccc(S(=O)(=O)N3Cc4ccccc4C[C@@H]3C(=O)NO)s2)cc1,IC50,'=',30,nM,7.52,,,UO_0000065,15.21,0.3,3.41,8.68,0,CHEMBL1799650,Inhibition of human MMP8 by fluorometric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1795253,1,Scientific Literature,Eur. J. Med. Chem.,2011,None,
CHEMBL329298,,0,497.61,0,1.49,9t,COc1ccc(S(=O)(=O)N(C)C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)N2CCOCC2)cc1,IC50,'=',3,nM,8.52,,,UO_0000065,17.13,0.34,7.03,6.79,1,CHEMBL710485,Inhibition of HNC MMP-8,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1132007,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1999,None,
CHEMBL1957605,,0,396.45,0,0.6,10a,O=C(NO)[C@@H]1CS(=O)(=O)CN1S(=O)(=O)c1ccc(-c2ccccc2)cc1,IC50,'=',100,nM,7,,,UO_0000065,17.66,0.37,6.4,5.79,0,CHEMBL1960479,Inhibition of MMP8 catalytic domain using Mca-Pro-Leu-Gly-Leu-Dpa-Ala-Arg-NH2 as substrate preincubated for 1 hr prior substrate addition measured after 30 mins by spectrofluorimetry,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1955780,1,Scientific Literature,Bioorg. Med. Chem.,2012,None,
CHEMBL1946147,,0,859.95,2,1.55,31,O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCN(CCOCCOCCOCCOCCOCCOCCOCCOCc3cn(CCF)nn3)CC2)C(=O)N1,IC50,'=',150,nM,6.82,,,UO_0000065,7.94,0.15,5.27,3.49,0,CHEMBL1948221,"Inhibition of MMP8 using (7-methoxycoumarin-4-yl)acetyl-Pro-Leu-Gly-Leu-(3-(2	4-dinitrophenyl)-L-2	3-diaminopropionyl)Ala-Arg-NH2 as substrate preincubated for 30 mins measured after 10 mins by fluorescence analysis",B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1944633,1,Scientific Literature,J. Med. Chem.,2012,None,
CHEMBL116557,,0,340.42,0,2.49,34,O=C(NO)C(CCc1ccccc1)C(=O)NCCCc1ccccc1,Ki,'=',490,nM,6.31,,,UO_0000065,18.54,0.34,3.82,8.05,1,CHEMBL711321,"Inhibition of Matrix metalloprotease-8 (Human neutrophil collagenase	 MMP-8)",B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1131458,1,Scientific Literature,J. Med. Chem.,1998,None,
CHEMBL116150,,0,286.42,0,2.63,"table 34	 12",CCCCCCCCNC(=O)C(CC(C)C)C(=O)NO,Ki,'=',239.88,nM,6.62,,,UO_0000065,23.11,0.45,3.99,8.44,0,CHEMBL924956,Inhibition of MMP8,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1140610,1,Scientific Literature,Bioorg. Med. Chem.,2007,None,
CHEMBL116557,,0,340.42,0,2.49,"table 34	 10",O=C(NO)C(CCc1ccccc1)C(=O)NCCCc1ccccc1,Ki,'=',489.78,nM,6.31,,,UO_0000065,18.54,0.34,3.82,8.05,0,CHEMBL924956,Inhibition of MMP8,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1140610,1,Scientific Literature,Bioorg. Med. Chem.,2007,None,
CHEMBL116641,,0,292.38,0,1.9,"table 34	 8",CC(C)CC(C(=O)NO)C(=O)NCCCc1ccccc1,Ki,'=',537.03,nM,6.27,,,UO_0000065,21.44,0.41,4.37,7.99,0,CHEMBL924956,Inhibition of MMP8,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1140610,1,Scientific Literature,Bioorg. Med. Chem.,2007,None,
CHEMBL97936,,0,515.68,1,3.79,"table 20	 10",CN(C[C@H](C(=O)NO)[C@@H](CC1CCCC1)C(=O)N1CCCCC1)S(=O)(=O)c1cccc2ccccc12,IC50,'=',3.981,nM,8.4,,,UO_0000065,16.29,0.32,4.61,7.85,0,CHEMBL924956,Inhibition of MMP8,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1140610,1,Scientific Literature,Bioorg. Med. Chem.,2007,None,
CHEMBL312100,,0,520.6,1,2.93,"table 33	 14",COCCOC(=O)N1CCC(C(C(=O)O)N(C)S(=O)(=O)c2ccc(-c3ccc(OC)cc3)cc2)CC1,IC50,'=',3.631,nM,8.44,,,UO_0000065,16.21,0.32,5.51,6.88,0,CHEMBL924956,Inhibition of MMP8,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1140610,1,Scientific Literature,Bioorg. Med. Chem.,2007,None,
CHEMBL313340,,0,476.55,0,2.58,"table 33	 11",COCCOC(=O)N1CCC(C(NS(=O)(=O)c2ccc(-c3ccccc3)cc2)C(=O)O)CC1,IC50,'=',44.67,nM,7.35,,,UO_0000065,15.42,0.3,4.77,6.01,0,CHEMBL924956,Inhibition of MMP8,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1140610,1,Scientific Literature,Bioorg. Med. Chem.,2007,None,
CHEMBL311004,,0,522.65,1,3.3,"table 33	 10",COCCOC(=O)N1CCC(C(NS(=O)(=O)c2ccc(-c3ccc(SC)cc3)cc2)C(=O)O)CC1,IC50,'=',1.82,nM,8.74,,,UO_0000065,16.72,0.34,5.44,7.15,0,CHEMBL924956,Inhibition of MMP8,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1140610,1,Scientific Literature,Bioorg. Med. Chem.,2007,None,
CHEMBL318455,,0,431.6,0,1.99,"table 20	 14",CC(C)N(C[C@H](C(=O)NO)[C@@H](CC1CCCC1)C(=O)N1CCCCC1)S(C)(=O)=O,IC50,'=',100,nM,7,,,UO_0000065,16.22,0.33,5.01,6.54,0,CHEMBL924956,Inhibition of MMP8,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1140610,1,Scientific Literature,Bioorg. Med. Chem.,2007,None,
CHEMBL222077,,0,538.52,1,4.19,34,COCCC1(Oc2ccc(Oc3ccc(-c4nc(-c5ccc(C#N)cc5)co4)cc3)cc2)C(=O)NC(=O)NC1=O,Selectivity ratio,'=',394,,,,,,,,,,0,CHEMBL908437,Selectivity for MMP13 over MMP8,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL612545,Unchecked,,UNCHECKED,CHEMBL1139698,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None,
CHEMBL56845,,0,500.92,1,3.68,59,O=C(O)C(=O)[C@H]1Cc2cc([N+](=O)[O-])ccc2CN1S(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1,IC50,'=',20,nM,7.7,,,UO_0000065,15.37,0.31,4.02,5.71,0,CHEMBL717812,"Inhibition of human neutrophil collagenase [Matrix Metalloprotease-8	 MMP-8]",B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1132223,1,Scientific Literature,J. Med. Chem.,1999,None,
CHEMBL138953,,0,477.54,0,2.66,31,COc1ccc(S(=O)(=O)N2Cc3cc(NC(=O)OC(C)(C)C)ccc3CC2C(=O)NO)cc1,Selectivity,'=',0.82,,,,,,,,,,0,CHEMBL851514,Affinity ratio of IC50 of MMP-8 to IC50 of MMP-3,B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL612545,Unchecked,,UNCHECKED,CHEMBL1132460,1,Scientific Literature,J. Med. Chem.,1999,None,
CHEMBL141471,,0,382.44,0,2.46,17,O=C(NO)C1Cc2ccccc2CN1S(=O)(=O)c1ccc2ccccc2c1,IC50,'=',70,nM,7.16,,,UO_0000065,18.71,0.36,4.69,8.25,0,CHEMBL711316,"Inhibitory concentration against human matrix metalloprotease-8 (human neutrophil collagenase	 MMP-8)",B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1132460,1,Scientific Literature,J. Med. Chem.,1999,None,
CHEMBL423366,,0,449.48,0,2.69,54,O=C(O)C(=O)C1Cc2ccccc2CN1S(=O)(=O)c1ccc(C(=O)c2ccccc2)cc1,Selectivity,'=',1,,,,,,,,,,0,CHEMBL851514,Affinity ratio of IC50 of MMP-8 to IC50 of MMP-3,B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL612545,Unchecked,,UNCHECKED,CHEMBL1132460,1,Scientific Literature,J. Med. Chem.,1999,None,
CHEMBL138656,,0,456.5,0,3.03,57,O=C(NO)C1Cc2ccccc2CN1S(=O)(=O)c1ccc(OCc2ccc(F)cc2)cc1,IC50,'=',2,nM,8.7,,,UO_0000065,19.06,0.37,5.67,9.07,0,CHEMBL711316,"Inhibitory concentration against human matrix metalloprotease-8 (human neutrophil collagenase	 MMP-8)",B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4588,Matrix metalloproteinase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1132460,1,Scientific Literature,J. Med. Chem.,1999,None,
